# Program:featureCounts v1.5.0-p1; Command:"featureCounts" "-T" "6" "-t" "exon" "-g" "gene_id" "-a" "./GTF_File/PT_genome_merged_DN001.gtf" "-o" "LHCX_result.txt" "./SamFile/Merged_WT_LL_1.sam" "./SamFile/Merged_WT_LL_2.sam" "./SamFile/Merged_WT_LL_3.sam" "./SamFile/Merged_WT_HL_1.sam" "./SamFile/Merged_WT_HL_2.sam" "./SamFile/Merged_WT_HL_3.sam" "./SamFile/Merged_LHCX_LL_1.sam" "./SamFile/Merged_LHCX_LL_2.sam" "./SamFile/Merged_LHCX_LL_3.sam" "./SamFile/Merged_LHCX_HL_1.sam" "./SamFile/Merged_LHCX_HL_2.sam" "./SamFile/Merged_LHCX_HL_3.sam" 
Geneid	Chr	Start	End	Strand	Length	./SamFile/Merged_WT_LL_1.sam	./SamFile/Merged_WT_LL_2.sam	./SamFile/Merged_WT_LL_3.sam	./SamFile/Merged_WT_HL_1.sam	./SamFile/Merged_WT_HL_2.sam	./SamFile/Merged_WT_HL_3.sam	./SamFile/Merged_LHCX_LL_1.sam	./SamFile/Merged_LHCX_LL_2.sam	./SamFile/Merged_LHCX_LL_3.sam	./SamFile/Merged_LHCX_HL_1.sam	./SamFile/Merged_LHCX_HL_2.sam	./SamFile/Merged_LHCX_HL_3.sam
Phatr3_J31400	1;1	286;1586	1441;5793	+;+	5364	1	1	1	1	0	0	0	0	0	13	36	18
Phatr3_J42422	1;1	6632;7345	7261;7704	-;-	990	101	107	117	71	115	81	103	518	100	75	317	124
Phatr3_J31402	1;1;1;1;1;1;1	11249;11821;12821;13682;14717;15208;15765	11259;12748;13608;14632;15138;15651;16021	+;+;+;+;+;+;+	3801	0	0	0	0	0	0	0	0	0	1	8	1
Phatr3_J42423	1	17244	18223	+	980	11	11	19	26	37	18	17	149	12	23	93	42
Phatr3_J42424	1;1	18350;19187	19082;20109	-;-	1656	1467	1335	1348	1023	1769	916	965	5039	850	1162	4581	2325
Phatr3_J7430	1	20334	22097	+	1764	297	305	335	203	348	248	231	1373	230	255	898	452
Phatr3_J42426	1;1	22835;24142	24060;24639	+;+	1724	2112	1844	2210	1653	2913	1932	1677	8731	1497	2755	9340	4628
Phatr3_EG02408	1;1	24703;26638	26250;27789	-;-	2700	176	205	190	121	229	149	107	368	80	417	1682	782
Phatr3_J31409	1	28204	28839	+	636	662	679	743	515	699	701	221	945	180	911	3725	1567
Phatr3_J42428	1	29081	29680	-	600	191	172	165	303	394	391	159	817	140	162	662	263
Phatr3_J42429	1	30594	32471	+	1878	1188	1237	1230	966	1454	1024	957	5265	892	909	3395	1717
Phatr3_EG01843	1	32615	33778	-	1164	501	497	493	250	390	252	516	2545	440	437	1556	689
Phatr3_J42431	1	34491	35501	-	1011	240	214	188	214	357	270	162	882	152	209	700	367
Phatr3_J42432	1	36435	37664	-	1230	319	270	283	298	401	333	282	1259	270	335	1331	622
Phatr3_J4937	1;1	38279;40248	40000;40310	-;-	1785	2260	2089	2614	1850	2563	2344	1085	5002	1406	1222	4130	2399
Phatr3_J42434	1;1;1	41016;41312;41617	41161;41513;42852	+;+;+	1584	1979	1508	1794	1548	2512	1324	959	5034	944	1164	4104	2338
Phatr3_J9344	1;1	42937;44943	44845;45310	-;-	2277	688	900	920	828	1566	698	360	1669	368	691	2067	1453
Phatr3_J8866	1;1	47774;48789	48683;49369	+;+	1491	1605	1539	1510	1290	1952	1071	861	3884	698	983	2901	2234
Phatr3_J42437	1;1;1	49681;49991;50695	49836;50599;51216	-;-;-	1287	93	106	94	77	137	83	45	228	53	74	259	165
Phatr3_J31420	1	51716	52687	+	972	209	190	230	108	225	107	154	943	160	452	1474	612
Phatr3_J9252	1	52763	54325	-	1563	350	312	315	302	402	319	282	1236	250	283	1032	481
Phatr3_J42439	1	54762	56474	-	1713	1051	817	847	754	954	703	552	2602	545	524	1628	1106
Phatr3_J31423	1	57209	58282	+	1074	445	449	415	320	402	336	264	1533	262	278	1078	496
Phatr3_J42440	1	58601	60029	-	1429	453	445	492	323	453	431	329	1698	287	430	1364	728
Phatr3_J42441	1;1	60366;65080	65009;67272	+;+	6837	3327	3407	3643	2771	3939	3281	2041	11229	1849	1797	5946	3996
Phatr3_J42442	1;1;1;1	67387;67869;68774;70663	67776;68691;70446;70719	-;-;-;-	2943	2854	2727	3034	2570	4061	2602	2451	10692	2157	3133	9772	5792
Phatr3_J6387	1	71383	72099	+	717	208	229	261	120	195	165	127	661	145	214	814	379
Phatr3_J42443	1	73571	76858	-	3288	974	997	1079	1093	1897	1296	1169	5937	1116	1188	4299	2009
Phatr3_J31429	1	78028	79083	+	1056	112	103	104	117	144	132	54	309	51	59	234	147
Phatr3_EG01838	1;1	78666;79163	79070;79204	-;-	447	2	7	6	2	5	2	0	4	8	0	3	3
Phatr3_J53929	1	79246	80715	-	1470	504	493	524	329	581	488	243	1207	285	229	826	458
Phatr3_EG01882	1	81348	82442	-	1095	426	584	546	185	367	172	846	4112	857	833	2981	1122
Phatr3_J31431	1;1	83699;85706	85665;85761	+;+	2023	0	0	1	0	1	0	0	0	0	14	22	10
Phatr3_EG01820	1;1	86623;87317	87098;87569	-;-	729	37	29	42	25	28	23	18	94	14	25	55	34
Phatr3_J31432	1	86756	87427	+	672	54	52	67	39	59	52	43	179	55	33	106	35
Phatr3_J31433	1;1;1	87697;88073;89690	87947;89567;89896	-;-;-	1953	556	534	594	2093	3273	1855	428	1821	445	1299	5042	1968
Phatr3_EG01782	1;1	89173;89262	89220;89702	+;+	489	0	0	0	0	0	1	0	0	0	3	3	0
Phatr3_J31434	1	90797	91249	+	453	555	431	382	60	116	143	282	1710	301	70	258	97
Phatr3_EG02461	1	91399	92346	-	948	435	378	405	351	531	403	335	1877	313	356	1272	562
Phatr3_J31436	1;1;1	92754;92968;93454	92876;93355;93590	+;+;+	648	130	100	114	88	141	113	64	351	77	131	532	197
Phatr3_J31437	1;1	94401;94992	94980;95173	+;+	762	304	301	302	163	321	204	412	2048	344	306	1305	700
Phatr3_J42447	1;1;1	95522;95760;95904	95666;95815;97171	+;+;+	1469	862	594	693	713	1110	488	2629	13161	1866	1651	7240	3139
Phatr3_EG01815	1;1;1	96631;96744;97386	96646;97260;97923	-;-;-	1071	292	304	360	118	224	209	186	1022	239	302	1102	548
Phatr3_J31440	1;1	98818;99098	98946;99352	+;+	384	1094	1064	1067	976	1442	1402	809	4423	714	1366	4932	2223
Phatr3_J17166	1	99619	101121	-	1503	519	469	462	357	495	547	405	2089	389	332	1334	623
Phatr3_J31442	1	102422	103390	+	969	371	378	411	317	474	488	259	1646	284	173	771	364
Phatr3_J42451	1;1	104772;106130	106035;106887	+;+	2022	1055	1218	1461	573	931	519	1486	5275	1773	769	2730	1066
Phatr3_J42452	1	107202	107867	-	666	428	407	439	464	654	588	441	2483	274	180	854	409
Phatr3_EG02462	1;1	108562;109038	108925;110071	+;+	1398	1480	1411	1500	1352	2141	1627	1388	6749	1186	1412	4835	2476
Phatr3_EG02453	1	110748	111425	+	678	470	453	517	382	627	499	424	2502	443	462	1515	669
Phatr3_J31447	1;1;1	111656;111837;112298	111736;112142;112300	-;-;-	390	605	496	535	424	704	468	375	1861	359	386	1490	692
Phatr3_J17172	1	113258	115084	+	1827	1836	1515	1840	2291	3037	2558	1358	6664	993	1012	3675	1885
Phatr3_EG02409	1;1;1;1;1	115412;116287;117147;118090;118790	116194;116574;117995;118477;118848	-;-;-;-;-	2367	1479	1320	1482	1269	1790	1170	1104	5753	837	1410	4964	2579
Phatr3_J9359	1;1;1	118907;119360;120067	119284;119979;120325	+;+;+	1257	250	224	226	187	264	120	377	1855	342	392	1370	644
Phatr3_J42457	1	120462	121814	-	1353	597	375	471	353	421	711	540	2730	474	687	2521	1203
Phatr3_J31453	1	122459	123076	+	618	68	57	53	48	66	45	26	140	21	28	65	50
Phatr3_J42458	1;1	123466;124718	124583;124831	-;-	1232	1286	1130	1330	1601	1657	5701	743	3488	747	933	3869	2097
Phatr3_J42459	1;1	125767;126520	126435;127863	+;+	2013	607	469	527	367	572	324	380	1702	318	401	1380	822
Phatr3_J8760	1	128946	130685	+	1740	418	382	439	454	576	647	265	1306	284	405	1330	675
Phatr3_J42461	1	131524	133383	+	1860	341	300	319	195	381	303	55	309	60	306	1175	571
Phatr3_J31458	1	134130	135161	-	1032	206	206	231	189	246	190	212	905	175	222	648	419
Phatr3_EG01752	1	135609	137933	+	2325	725	600	735	709	863	839	542	2692	471	522	1767	992
Phatr3_J53933	1;1	138067;141548	141460;142116	-;-	3963	1245	1297	1187	1240	2039	1338	832	4087	825	837	2985	1753
Phatr3_J42464	1	142599	145040	-	2442	1322	1438	1557	1825	2321	2951	1145	5282	994	896	3381	1901
Phatr3_J17184	1;1	145352;146365	146197;146856	-;-	1338	309	289	314	281	388	379	237	1104	210	292	1139	622
Phatr3_J42466	1	147487	148404	+	918	143	135	135	69	122	90	157	861	145	155	586	261
Phatr3_EG02454	1;1	148788;150767	150657;150936	-;-	2040	1478	1318	1366	899	1339	1430	1101	5648	1168	1110	3785	2099
Phatr3_J31465	1	151992	154031	-	2040	1778	1472	1712	2116	2973	2688	1232	6243	1017	895	3542	1910
Phatr3_EG02455	1	155006	155587	-	582	61	49	43	12	33	2	30	236	36	42	167	94
Phatr3_EG02451	1	155963	156544	-	582	604	635	563	300	410	166	684	3619	505	417	1888	870
Phatr3_J8934	1	157586	160048	-	2463	693	521	600	358	602	323	504	2617	477	455	1680	968
Phatr3_J31469	1;1	160545;160695	160606;161100	+;+	468	365	336	306	372	475	326	231	1248	192	180	682	385
Phatr3_EG02456	1;1	161820;162990	162735;163072	-;-	999	2343	2155	2707	2118	3298	2750	1652	8912	1674	1573	6210	3098
Phatr3_J42473	1	163930	164988	-	1059	330	332	284	228	332	243	197	1275	176	227	965	498
Phatr3_J42474	1;1	165507;166474	166358;166851	-;-	1230	95	63	65	96	108	133	54	277	63	207	628	276
Phatr3_J17198	1;1;1	167825;168137;169706	168047;169503;171576	+;+;+	3461	3549	3312	3953	3374	4625	5292	2424	12436	2166	1718	6514	3404
